구,업종코드,업종이름,검색업종,23.12,24.01,24.02,24.03,24.04,24.05,24.06,24.07,24.08,24.09,24.10,24.11,24.12
양동,I21001,빵/도넛,업종 음식 > 기타 간이 > 빵/도넛,247,255,255,164,163,125,160,234,156,140,148,400,304
양동,I21006,치킨,업종 음식 > 기타 간이 > 치킨,222,207,189,226,274,279,192,190,261,382,409,138,659
양동,I21201,카페,업종 음식 > 비알코올 > 카페,247,255,255,164,163,125,160,234,156,140,148,400,304
